,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
0,Australia,1965,10.7,1.54,0,2630,0.0628,0,0.0,1.34,0.0306
1,Austria,1965,5.23,0.696,0,2310,0.186,0,0.0,0.761,0.0
2,Belgium,1965,11.2,2.03,0,2160,0.00248,0,0.0,1.69,0.0
3,Canada,1965,12.8,0.788,0,6910,0.516,0.00056,0.0,2.74,2.24
4,Switzerland,1965,5.22,0.219,0,3590,0.364,0,0.0,1.38,0.0
5,Germany,1965,12.6,2.11,0,2190,0.0161,0.00013,0.0,1.13,0.0
6,Denmark,1965,9.31,0.777,0,1820,0.00045,0,0.0,2.19,0.0
7,Spain,1965,2.21,0.302,0,823,0.0527,0,0.0,0.442,0.0
8,Finland,1965,5.54,0.381,0,2940,0.176,0,0.0,1.25,0.0
9,France,1965,7.23,0.849,0,2010,0.0827,0.00186,0.0,1.11,0.0
10,UK,1965,11.5,2.16,0,3330,0.0066,0.0239,0.0,1.38,0.00155
11,Greece,1965,2.01,0.249,0,475,0.00805,0,0.0,0.525,0.0
12,Hungary,1965,6.03,1.07,0,1140,0.00064,0,0.0,0.371,0.0
13,Ireland,1965,4.86,1.11,0,1130,0.0282,0,0.0,0.858,0.0
14,Iceland,1965,7.26,0.034,0,2970,0.288,0,0.0,2.44,0.0
15,Italy,1965,3.67,0.167,0,1450,0.0712,0.00587,0.0,1.01,0.0441
16,Japan,1965,3.93,0.495,0,1790,0.0672,0,0.0,0.893,0.0
17,Luxembourg,1965,37.0,8.26,0,9110,0.0257,0,0.0,2.52,0.0
18,Netherlands,1965,8.2,0.723,0,1910,0,0,0.0,2.06,0.0
19,Norway,1965,4.4,0.205,0,11.4k,1.14,0,0.0,1.37,0.0
20,New Zealand,1965,5.21,0.626,0,3510,0.284,0,0.0,1.03,0.0
21,Poland,1965,7.88,1.9,0,1250,0.00248,0,0.0,0.172,0.0
22,Portugal,1965,1.31,0.0668,0,487,0.0384,0,0.0,0.29,0.0
23,Sweden,1965,8.08,0.288,0,5520,0.516,0.0002,0.0,2.51,0.0
24,Turkey,1965,0.884,0.118,0,142,0.00588,0,0.0,0.115,0.0
25,USA,1965,17.0,1.39,0,5230,0.0845,0.00169,0.0,2.76,2.14
26,Australia,1966,10.4,1.55,0,2770,0.0523,0,0.0,1.55,0.0384
27,Austria,1966,5.34,0.66,0,2380,0.2,0,0.0,0.832,0.0
28,Belgium,1966,11.1,1.84,0,2260,0.00271,50µ,0.0,1.71,0.0
29,Canada,1966,13.0,0.76,0,7360,0.561,0.00074,0.0,2.84,2.41
30,Switzerland,1966,5.34,0.179,0,3650,0.402,0,0.0,1.45,0.0
31,Germany,1966,12.4,1.95,0,2300,0.0178,0.0003,0.0,1.26,0.0
32,Denmark,1966,10.4,0.874,0,1980,0.00047,0,0.0,2.47,0.0
33,Spain,1966,2.39,0.276,0,926,0.0722,0,0.0,0.517,0.0
34,Finland,1966,6.44,0.353,0,3200,0.195,0,0.0,1.51,0.0
35,France,1966,7.07,0.779,0,2120,0.0911,0.00281,0.0,1.17,0.0
36,UK,1966,11.3,2.05,0,3430,0.00632,0.0318,0.0,1.47,0.00143
37,Greece,1966,2.2,0.248,0,625,0.0173,0,0.0,0.57,0.0
38,Hungary,1966,6.05,1.02,0,1220,0.00085,0,0.0,0.406,0.0
39,Ireland,1966,5.33,1.26,0,1240,0.0254,0,0.0,0.954,0.0
40,Iceland,1966,7.67,0.0247,0,2910,0.278,0,0.0,2.6,0.0
41,Italy,1966,4.11,0.172,0,1570,0.0725,0.00641,0.0,1.11,0.0355
42,Japan,1966,4.21,0.521,0,2000,0.0693,0.00052,0.0,1.0,0.0
43,Luxembourg,1966,35.0,7.41,0,9540,0.0232,0,0.0,2.85,0.0
44,Netherlands,1966,8.36,0.651,0,2090,0,0,0.0,2.21,0.0
45,Norway,1966,5.21,0.187,0,11.7k,1.12,0,0.0,1.53,0.0
46,New Zealand,1966,5.25,0.6,0,3680,0.304,0,0.0,1.13,0.0
47,Poland,1966,7.98,1.91,0,1360,0.00245,0,0.0,0.178,0.0
48,Portugal,1966,1.34,0.0685,0,543,0.0512,0,0.0,0.298,0.0
49,Sweden,1966,9.29,0.272,0,5630,0.502,0.0005,0.0,2.82,0.0
50,Turkey,1966,0.994,0.129,0,154,0.00617,0,0.0,0.134,0.0
51,USA,1966,17.6,1.44,0,5590,0.084,0.00252,0.0,2.87,2.25
52,Australia,1967,10.9,1.56,0,2970,0.0551,0,0.0,1.66,0.0873
53,Austria,1967,5.4,0.621,0,2450,0.203,0,0.0,0.88,0.0
54,Belgium,1967,11.3,1.8,0,2360,0.00215,0.00085,0.0,1.88,0.0
55,Canada,1967,13.9,0.74,0,7630,0.562,0.00064,0.0,2.98,2.59
56,Switzerland,1967,5.45,0.149,0,3750,0.427,0,0.0,1.55,0.0
57,Germany,1967,12.1,1.87,0,2360,0.0171,0.00137,0.0,1.29,0.0
