,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
58,Denmark,1967,10.2,0.743,0,2130,0.00045,0,0.0,2.6,0.0
59,Spain,1967,2.63,0.278,0,1030,0.0595,0,0.0,0.62,0.0
60,Finland,1967,6.24,0.339,0,3350,0.218,0,0.0,1.58,0.0
61,France,1967,7.51,0.762,0,2210,0.0786,0.00506,0.0,1.33,0.0
62,UK,1967,10.8,1.9,0,3510,0.00685,0.0364,0.0,1.57,0.00162
63,Greece,1967,2.29,0.236,0,742,0.0165,0,0.0,0.667,0.0
64,Hungary,1967,5.74,0.886,0,1310,0.00069,0,0.0,0.427,0.0
65,Ireland,1967,5.76,1.33,0,1340,0.0236,0,0.0,1.06,0.0
66,Iceland,1967,7.32,0.0187,0,2920,0.292,0,0.0,2.48,0.0
67,Italy,1967,4.47,0.188,0,1690,0.0697,0.00519,0.0,1.22,0.0329
68,Japan,1967,4.86,0.566,0,2270,0.0591,0.00052,0.0,1.22,0.0
69,Luxembourg,1967,34.0,6.9,0,9500,0.0249,0,0.0,3.13,0.0
70,Netherlands,1967,8.5,0.618,0,2240,0,0,0.0,2.23,0.0
71,Norway,1967,5.1,0.195,0,12.3k,1.21,0,0.0,1.57,0.0
72,New Zealand,1967,5.05,0.541,0,3710,0.32,0,0.0,1.17,0.0
73,Poland,1967,8.13,1.92,0,1480,0.00259,0,0.0,0.191,0.0
74,Portugal,1967,1.42,0.0687,0,572,0.0536,0,0.0,0.332,0.0
75,Sweden,1967,8.76,0.268,0,6020,0.539,0.00055,0.0,2.79,0.0
76,Turkey,1967,1.03,0.111,0,167,0.00616,0,0.0,0.154,0.0
77,USA,1967,18.1,1.4,0,5890,0.0946,0.00323,0.0,2.95,2.37
78,Australia,1968,11.0,1.56,0,3100,0.0537,0,0.0,1.76,0.158
79,Austria,1968,5.69,0.61,0,2610,0.207,0,0.0,1.01,0.0
80,Belgium,1968,12.4,1.85,0,2600,0.0022,0.00055,0.0,2.18,0.0
81,Canada,1968,14.7,0.79,0,8030,0.559,0.00377,0.0,3.12,2.76
82,Switzerland,1968,5.96,0.139,0,3850,0.416,0,0.0,1.7,0.0
83,Germany,1968,12.7,1.88,0,2580,0.0173,0.00196,0.0,1.44,0.0
84,Denmark,1968,11.0,0.661,0,2340,0.00037,0,0.0,2.8,0.0
85,Spain,1968,2.93,0.278,0,1150,0.0634,0.00022,0.0,0.651,0.0
86,Finland,1968,7.25,0.408,0,3630,0.197,0,0.0,1.79,0.0
87,France,1968,7.7,0.727,0,2280,0.0867,0.00608,0.0,1.43,0.0
88,UK,1968,11.0,1.89,0,3760,0.00554,0.0408,0.0,1.65,0.00152
89,Greece,1968,2.6,0.265,0,803,0.0135,0,0.0,0.679,0.0
90,Hungary,1968,5.94,0.871,0,1380,0.00075,0,0.0,0.445,0.0
91,Ireland,1968,6.23,1.62,0,1500,0.0227,0,0.0,1.18,0.0
92,Iceland,1968,7.99,0.0146,0,2990,0.298,0,0.0,2.62,0.0
93,Italy,1968,4.72,0.18,0,1820,0.0698,0.00421,0.0,1.33,0.0308
94,Japan,1968,5.51,0.575,0,2510,0.0625,0.00085,0.0,1.4,0.0
95,Luxembourg,1968,36.5,7.36,0,9210,0.0251,0,0.0,3.44,0.0
96,Netherlands,1968,8.94,0.579,0,2490,0,0.00019,0.0,2.37,0.0
97,Norway,1968,5.54,0.197,0,13.5k,1.36,0,0.0,1.74,0.0
98,New Zealand,1968,4.93,0.502,0,3880,0.329,0,0.0,1.19,0.0
99,Poland,1968,8.59,2.0,0,1590,0.0027,0,0.0,0.237,0.0
100,Portugal,1968,1.5,0.0623,0,615,0.0511,0,0.0,0.358,0.0
101,Sweden,1968,9.78,0.232,0,6510,0.528,0.00025,0.0,3.13,0.0
102,Turkey,1968,1.09,0.118,0,181,0.00803,0,0.0,0.181,0.0
103,USA,1968,18.6,1.43,0,6390,0.0937,0.0056,0.0,3.12,2.44
104,Australia,1969,11.4,1.57,0,3330,0.0578,0,0.0,1.76,0.178
105,Austria,1969,5.97,0.597,0,2810,0.189,0,0.0,1.11,0.0
106,Belgium,1969,12.9,1.8,0,2830,0.00206,0.0002,0.0,2.51,0.0
107,Canada,1969,14.6,0.75,0,8530,0.607,0.00213,0.0,3.19,2.96
108,Switzerland,1969,6.25,0.125,0,4020,0.383,0.00752,0.0,1.83,0.0
109,Germany,1969,13.5,1.93,0,2820,0.0145,0.00545,0.0,1.61,0.0
110,Denmark,1969,12.1,0.599,0,2620,0.00039,0,0.0,3.35,0.0
111,Spain,1969,2.89,0.277,0,1290,0.0787,0.00213,0.0,0.734,0.0
112,Finland,1969,8.24,0.488,0,4070,0.164,0,0.0,2.08,0.0
113,France,1969,8.22,0.723,0,2480,0.0903,0.00846,0.0,1.65,0.0
114,UK,1969,11.4,1.84,0,4010,0.00498,0.0452,0.0,1.77,0.00154
115,Greece,1969,2.96,0.255,0,918,0.0202,0,0.0,0.719,0.0
116,Hungary,1969,6.04,0.88,0,1470,0.00079,0,0.0,0.495,0.0
117,Ireland,1969,6.43,1.53,0,1610,0.0171,0,0.0,1.27,0.0
118,Iceland,1969,6.26,0.0102,0,3800,0.368,0,0.0,2.37,0.0
119,Italy,1969,5.08,0.184,0,1930,0.0668,0.00273,0.0,1.45,0.0299
120,Japan,1969,6.32,0.606,0,2890,0.0633,0.00092,0.0,1.63,0.0
121,Luxembourg,1969,39.1,7.78,0,10.3k,0.0217,0,0.0,3.79,0.0
122,Netherlands,1969,9.02,0.487,0,2710,0,0.00211,0.0,2.56,0.0
123,Norway,1969,5.78,0.218,0,13.2k,1.28,0,0.0,1.9,0.0
124,New Zealand,1969,5.14,0.508,0,4090,0.319,0,0.0,1.22,0.0
125,Poland,1969,9.06,2.09,0,1700,0.00216,0,0.0,0.259,0.0
126,Portugal,1969,1.69,0.059,0,681,0.0625,0,0.0,0.377,0.0
127,Sweden,1969,10.8,0.225,0,7020,0.45,0.00066,0.0,3.32,0.0
128,Turkey,1969,1.14,0.123,0,202,0.00853,0,0.0,0.197,0.0
129,USA,1969,19.4,1.43,0,6900,0.105,0.00617,0.0,3.27,2.46
130,Australia,1970,11.5,1.56,0,3610,0.06,0,0.116,1.91,0.68
131,Austria,1970,6.74,0.639,0,3020,0.239,0,0.0,1.21,0.0
132,Belgium,1970,13.0,1.69,0,3030,0.0022,0.00051,0.0,2.72,0.0
133,Canada,1970,16.0,0.792,0,8960,0.626,0.00411,2.17,3.35,3.28
134,Switzerland,1970,6.55,0.106,0,4310,0.431,0.0246,0.0,2.04,0.0
135,Germany,1970,13.1,1.9,0,3830,0.0193,0.00714,0.131,1.77,0.0
136,Denmark,1970,12.6,0.476,0,2890,0.00042,0,0.0,3.71,0.0
137,Spain,1970,3.45,0.29,0,1420,0.0707,0.00235,0.0,0.828,0.0
138,Finland,1970,8.76,0.495,0,4570,0.173,0,0.0,2.33,0.0
139,France,1970,8.67,0.683,0,2640,0.096,0.00967,0.0,1.86,0.0
140,UK,1970,11.8,1.73,0,4170,0.00693,0.0402,0.169,1.87,0.00281
141,Greece,1970,2.79,0.292,0,1020,0.0258,0,0.0,0.774,0.0
142,Hungary,1970,6.75,0.891,0,1590,0.00073,0,0.0,0.572,0.0
143,Ireland,1970,6.67,0.739,0,1750,0.0233,0,0.0,1.41,0.0
144,Iceland,1970,6.8,0.00673,0,6470,0.603,0,0.0,2.39,0.0
145,Italy,1970,5.54,0.184,0,2070,0.0651,0.00512,0.202,1.63,0.0281
146,Japan,1970,7.32,0.576,0,3250,0.0625,0.00381,0.0,1.9,0.0
147,Luxembourg,1970,40.5,7.93,0,10.6k,0.0243,0,0.0,3.99,0.0
148,Netherlands,1970,10.9,0.353,0,2950,0,0.00244,1.85,2.81,0.0
149,Norway,1970,7.22,0.221,0,13.5k,1.28,0,0.0,2.12,0.0
150,New Zealand,1970,5.04,0.501,0,4270,0.347,0,0.0,1.41,0.0
151,Poland,1970,9.33,2.15,0,1810,0.00468,0,0.135,0.272,0.0
152,Portugal,1970,1.76,0.054,0,764,0.0575,0,0.0,0.522,0.0
153,Sweden,1970,11.5,0.236,0,7320,0.444,0.0006,0.0,3.59,0.0
154,Turkey,1970,1.22,0.133,0,218,0.00735,0,0.0,0.203,0.0
155,USA,1970,20.7,1.4,0,7240,0.103,0.00957,2.35,3.37,2.55
156,UAE,1971,76.3,0.0,0,549,0,0,4.44,0.49,185.0
157,Argentina,1971,3.67,0.0364,0,876,0.00545,0,0.224,0.973,0.889
158,Australia,1971,11.7,1.53,0,3750,0.0767,0,0.17,1.97,1.17
159,Austria,1971,6.9,0.583,0,3210,0.186,0,0.0,1.35,0.0
160,Belgium,1971,12.6,1.39,0,3220,0.00119,0,0.0,2.78,0.0
161,Bangladesh,1971,0.0551,0.0,0,10.4,0.00022,0,0.0,0.0103,0.0
162,Bulgaria,1971,7.51,0.925,0,2290,0.0219,0,0.0,1.16,0.0
163,Brazil,1971,1.05,0.0252,0,454,0.0377,0,0.00114,0.281,0.0944
164,Canada,1971,16.2,0.741,0,9170,0.634,0.0166,2.34,3.38,3.46
165,Switzerland,1971,6.76,0.071,0,4620,0.371,0.0192,0.0,2.14,0.0
166,Chile,1971,2.72,0.125,0,758,0.0424,0,0.0,0.524,0.0
167,China,1971,1.03,0.225,0,152,0.00308,0,0.00382,0.0453,0.0464
168,Colombia,1971,1.38,0.0793,0,426,0.0262,0,0.0508,0.251,0.531
169,Cyprus,1971,3.04,0.0,0,954,0,0,0.0,1.3,0.0
170,Czech Republic,1971,16.5,3.93,0,3420,0.0106,0,0.0,0.78,0.0
171,Germany,1971,13.2,1.81,0,4060,0.0148,0.00682,0.162,1.83,0.0
172,Denmark,1971,11.5,0.29,0,3060,0.00042,0,0.0,3.63,0.0
173,Algeria,1971,1.26,0.00155,0,141,0.002,0,0.149,0.154,2.47
174,Ecuador,1971,0.676,0.0,0,142,0.00615,0,0.0,0.191,0.0343
175,Egypt,1971,0.652,0.0102,0,203,0.0118,0,0.00199,0.177,0.423
176,Spain,1971,3.75,0.288,0,1530,0.0801,0.00635,0.0,0.902,0.0
177,Finland,1971,8.76,0.438,0,4890,0.198,0,0.0,2.41,0.0
178,France,1971,9.06,0.621,0,2760,0.0821,0.0157,0.0,2.01,0.0
179,UK,1971,11.9,1.53,0,4250,0.00517,0.0424,0.281,1.87,0.0038
180,Greece,1971,3.19,0.427,0,1200,0.0258,0,0.0,0.85,0.0
181,"Hong Kong, China",1971,2.34,0.0069,0,1300,0,0,0.0,1.05,0.0
182,Hungary,1971,6.66,0.86,0,1710,0.0008,0,0.0,0.642,0.0
183,Indonesia,1971,0.331,0.00085,0,14.3,0.00055,0,0.0111,0.0596,0.382
184,India,1971,0.362,0.0671,0,97.4,0.00425,0.00018,0.00102,0.0361,0.0126
185,Ireland,1971,7.64,0.697,0,1880,0.0134,0,0.0,1.54,0.0
186,Iran,1971,3.47,0.00825,0,274,0.00783,0,0.248,0.414,7.81
187,Iraq,1971,2.81,0.0,0,262,0.00166,0,0.0737,0.255,8.14
188,Iceland,1971,7.11,0.00457,0,7000,0.648,0,0.0,2.57,0.0
189,Israel,1971,5.6,0.0,0,2290,0,0,0.0,1.72,0.0
190,Italy,1971,5.78,0.177,0,2150,0.0626,0.00539,0.205,1.74,0.0251
191,Japan,1971,7.49,0.515,0,3420,0.0689,0.00654,0.0,2.06,0.0
192,South Korea,1971,1.78,0.173,0,296,0.00354,0,0.0,0.288,0.0
193,Kuwait,1971,34.0,0.0,0,2810,0,0,2.15,6.03,204.0
194,Sri Lanka,1971,0.251,0.0,0,57.7,0.0056,0,0.0,0.0713,0.0
195,Luxembourg,1971,38.6,7.25,0,11.9k,0.0138,0,0.0,4.13,0.0
196,Morocco,1971,0.501,0.0183,0,131,0.00832,0,0.0,0.122,0.0
197,Mexico,1971,2.38,0.0255,0,519,0.0231,0,0.177,0.41,0.454
198,Malaysia,1971,1.51,0.00371,0,328,0.00804,0,0.00644,0.31,0.298
199,Netherlands,1971,10.7,0.263,0,3150,0,0.00266,2.52,2.74,0.0
200,Norway,1971,6.96,0.206,0,14.1k,1.39,0,0.0,2.07,0.075
201,New Zealand,1971,5.25,0.437,0,4690,0.393,0,0.0,1.43,0.0
202,Oman,1971,2.8,0.0,0,16,0,0,0.0,1.78,19.4
203,Pakistan,1971,0.326,0.0122,0,91.7,0.00518,0.00015,0.0418,0.0718,0.0
204,Peru,1971,1.34,0.00881,0,389,0.0272,0,0.0295,0.351,0.238
205,Philippines,1971,0.748,0.00052,0,226,0,0,0.0,0.226,0.0
206,Poland,1971,9.52,2.18,0,1960,0.00411,0,0.138,0.286,0.0
207,Portugal,1971,1.88,0.0497,0,835,0.0608,0,0.0,0.589,0.0
208,Qatar,1971,76.6,0.0,0,2370,0,0,7.49,0.745,179.0
209,Romania,1971,6.05,0.364,0,1630,0.0189,0,0.961,0.523,0.678
210,Saudi Arabia,1971,9.8,0.0,0,309,0,0,0.181,3.49,39.5
211,Singapore,1971,7.86,0.00188,0,1150,0,0,0.0,3.08,0.0
212,Slovak Republic,1971,11.3,1.51,0,2700,0.0279,0,0.0,0.966,0.0
213,Sweden,1971,10.4,0.212,0,7670,0.553,0.00096,0.0,3.36,0.0
214,Thailand,1971,0.507,0.00301,0,124,0.00463,0,0.0,0.148,0.0
215,Trinidad and Tobago,1971,8.48,0.0,0,991,0,0,1.68,2.37,6.68
216,Turkey,1971,1.33,0.133,0,242,0.00619,0,0.0,0.236,0.0
217,USA,1971,20.6,1.31,0,7520,0.107,0.0165,2.39,3.45,2.49
218,Venezuela,1971,5.33,0.0121,0,1050,0.042,0,0.607,0.92,16.2
219,Vietnam,1971,0.551,0.0322,0,41.8,0.00115,0,0.0,0.116,0.0
220,South Africa,1971,7.44,1.29,0,2200,0.00042,0,0.0,0.414,0.0
221,UAE,1972,70.9,0.0,0,1110,0,0,3.78,0.541,176.0
222,Argentina,1972,3.66,0.0302,0,927,0.00522,0,0.21,0.959,0.901
223,Australia,1972,11.9,1.58,0,3880,0.0752,0,0.241,1.97,1.23
224,Austria,1972,7.4,0.527,0,3400,0.192,0,0.0,1.45,0.0
225,Belgium,1972,13.5,1.33,0,3610,0.0016,0.0001,0.0,3.0,0.0
226,Bangladesh,1972,0.0527,0.0014,0,10.2,0.00022,0,0.00567,0.0125,0.0
227,Bulgaria,1972,7.68,0.948,0,2490,0.021,0,0.0,1.19,0.0
228,Brazil,1972,1.14,0.0259,0,492,0.0432,0,0.00151,0.316,0.0904
229,Canada,1972,17.3,0.688,0,9800,0.699,0.0278,2.6,3.51,3.93
230,Switzerland,1972,6.87,0.0596,0,4780,0.336,0.0527,0.0,2.18,0.0
231,Chile,1972,2.79,0.101,0,785,0.0496,0,0.0,0.546,0.0
232,China,1972,1.07,0.233,0,164,0.00341,0,0.00482,0.0508,0.0525
233,Colombia,1972,1.4,0.0805,0,412,0.028,0,0.0607,0.28,0.47
234,Cyprus,1972,3.83,0.0,0,1100,0,0,0.0,1.44,0.0
235,Czech Republic,1972,16.5,3.85,0,3600,0.011,0,0.0,0.851,0.0
236,Germany,1972,13.2,1.77,0,4340,0.0144,0.0104,0.193,1.93,0.0
237,Denmark,1972,12.0,0.294,0,3350,0.00041,0,0.0,3.82,0.0196
238,Algeria,1972,1.85,0.00131,0,151,0.00292,0,0.183,0.164,3.25
239,Ecuador,1972,0.714,0.0,0,147,0.00604,0,0.0,0.191,0.652
240,Egypt,1972,0.706,0.00879,0,199,0.0118,0,0.00163,0.198,0.297
241,Spain,1972,4.18,0.291,0,1700,0.0883,0.0118,0.0,0.939,0.0
242,Finland,1972,9.49,0.484,0,5520,0.191,0,0.0,2.55,0.0
243,France,1972,9.35,0.548,0,2940,0.0814,0.0243,0.0,2.21,0.0
244,UK,1972,11.6,1.33,0,4370,0.00521,0.0451,0.404,1.98,0.00596
245,Greece,1972,3.59,0.454,0,1360,0.026,0,0.0,0.979,0.0
246,"Hong Kong, China",1972,2.34,0.00327,0,1310,0,0,0.0,1.18,0.0
247,Hungary,1972,6.66,0.834,0,1830,0.00091,0,0.0,0.696,0.0
248,Indonesia,1972,0.358,0.00083,0,15.8,0.00046,0,0.00801,0.0626,0.452
249,India,1972,0.374,0.0692,0,100,0.00403,0.00017,0.00109,0.038,0.0127
250,Ireland,1972,7.38,0.64,0,2020,0.0193,0,0.0,1.67,0.0
251,Iran,1972,3.53,0.0126,0,315,0.01,0,0.326,0.448,8.44
252,Iraq,1972,2.79,0.0,0,262,0.00161,0,0.0721,0.306,6.83
253,Iceland,1972,7.07,0.00325,0,7650,0.707,0,0.0,2.72,0.0
254,Israel,1972,5.64,0.0,0,2500,0,0,0.0,1.74,0.0
255,Italy,1972,6.05,0.164,0,2300,0.0658,0.00577,0.215,1.81,0.0223
256,Japan,1972,7.9,0.496,0,3740,0.0686,0.00766,0.0,2.17,0.0
257,South Korea,1972,1.8,0.174,0,344,0.00359,0,0.0,0.295,0.0
258,Kuwait,1972,32.4,0.0,0,3300,0,0,2.38,6.14,196.0
259,Sri Lanka,1972,0.272,0.0,0,64.2,0.00563,0,0.0,0.0768,0.0
260,Luxembourg,1972,39.1,7.08,0,11.7k,0.0161,0,0.0,4.29,0.0
261,Morocco,1972,0.482,0.0221,0,144,0.00852,0,0.0,0.127,0.0
262,Mexico,1972,2.42,0.0273,0,563,0.024,0,0.178,0.449,0.459
263,Malaysia,1972,1.58,0.00918,0,364,0.00866,0,0.00881,0.336,0.393
264,Netherlands,1972,11.9,0.223,0,3410,0,0.00212,3.33,3.01,0.0
265,Norway,1972,7.48,0.222,0,14.5k,1.47,0,0.0,2.15,0.41
266,New Zealand,1972,5.53,0.439,0,5310,0.419,0,0.0,1.51,0.0
267,Oman,1972,2.69,0.0,0,32.5,0,0,0.0,1.97,18.0
268,Pakistan,1972,0.308,0.00955,0,89.3,0.00504,0.00014,0.0377,0.0579,0.0
269,Peru,1972,1.28,0.00928,0,407,0.0273,0,0.0276,0.292,0.243
270,Philippines,1972,0.697,0.00049,0,251,0,0,0.0,0.215,0.0
271,Poland,1972,9.95,2.27,0,2110,0.00391,0,0.145,0.319,0.0
272,Portugal,1972,2.08,0.0435,0,912,0.0691,0,0.0,0.634,0.0
273,Qatar,1972,82.6,0.0,0,2670,0,0,7.52,0.812,184.0
274,Romania,1972,6.3,0.377,0,1790,0.0305,0,0.973,0.553,0.687
275,Saudi Arabia,1972,11.0,0.0,0,340,0,0,0.195,3.56,47.6
276,Singapore,1972,10.3,0.00139,0,1370,0,0,0.0,3.8,0.0
277,Slovak Republic,1972,11.3,1.52,0,2830,0.029,60µ,0.0,1.05,0.0
278,Sweden,1972,10.4,0.181,0,8130,0.569,0.0155,0.0,3.44,0.0
279,Thailand,1972,0.559,0.0023,0,145,0.0038,0,0.0,0.181,0.0
280,Trinidad and Tobago,1972,8.51,0.0,0,1100,0,0,1.71,3.85,7.23
281,Turkey,1972,1.47,0.14,0,272,0.00744,0,0.0,0.261,0.0
282,USA,1972,21.4,1.36,0,8080,0.109,0.0233,2.36,3.7,2.48
283,Venezuela,1972,5.17,0.0124,0,1110,0.0453,0,0.586,0.976,14.4
284,Vietnam,1972,0.506,0.0237,0,39.1,0.00077,0,0.0,0.117,0.0
285,South Africa,1972,7.37,1.27,0,2350,0.00302,0,0.0,0.44,0.0
286,UAE,1973,77.6,0.0,0,1520,0,0,3.69,0.71,188.0
287,Argentina,1973,3.75,0.0326,0,964,0.0102,0,0.225,0.945,0.862
288,Australia,1973,12.7,1.62,0,4230,0.0728,0,0.301,2.07,1.52
289,Austria,1973,7.9,0.522,0,3620,0.213,0,0.0,1.56,0.0
290,Belgium,1973,14.3,1.11,0,3940,0.00151,0.00067,0.0,3.14,0.0
291,Bangladesh,1973,0.0673,0.0018,0,14.6,0.00041,0,0.00773,0.014,0.0
292,Bulgaria,1973,7.94,0.95,0,2680,0.0256,0,0.0,1.25,0.0
293,Brazil,1973,1.29,0.0248,0,547,0.0482,0,0.00169,0.38,0.0895
294,Canada,1973,17.0,0.698,0,10.2k,0.74,0.058,2.74,3.64,4.48
295,Switzerland,1973,7.35,0.0563,0,5010,0.38,0.086,0.0,2.33,0.0
296,Chile,1973,2.69,0.108,0,755,0.0476,0,0.0,0.511,0.0
297,China,1973,1.09,0.23,0,176,0.00372,0,0.00583,0.0605,0.0603
298,Colombia,1973,1.46,0.0802,0,445,0.0298,0,0.0615,0.262,0.432
299,Cyprus,1973,3.95,0.0,0,1190,0,0,0.0,1.53,0.0
300,Czech Republic,1973,16.5,3.75,0,3730,0.00939,0,0.0,0.952,0.0
301,Germany,1973,13.8,1.77,0,4650,0.0167,0.0132,0.216,2.06,0.0
302,Denmark,1973,11.8,0.449,0,3430,0.00041,0,0.0,3.51,0.0291
303,Algeria,1973,2.44,0.00146,0,169,0.0043,0,0.237,0.174,3.29
304,Ecuador,1973,0.795,0.0,0,161,0.00574,0,0.0,0.206,1.69
305,Egypt,1973,0.645,0.00749,0,196,0.0115,0,0.00128,0.182,0.23
306,Spain,1973,4.42,0.282,0,1870,0.0711,0.0161,0.0,1.12,0.0
307,Finland,1973,10.6,0.534,0,6050,0.194,0,0.0,2.84,0.0
308,France,1973,9.96,0.538,0,3170,0.0789,0.0244,0.0,2.45,0.0
309,UK,1973,11.8,1.44,0,4670,0.00592,0.0429,0.438,2.03,0.00664
310,Greece,1973,4.2,0.53,0,1550,0.0215,0,0.0,1.13,0.0
311,"Hong Kong, China",1973,2.3,0.00173,0,1420,0,0,0.0,1.2,0.0
312,Hungary,1973,6.99,0.836,0,1960,0.00083,0,0.0,0.78,0.0
313,Indonesia,1973,0.396,0.00054,0,15.8,0.00069,0,0.0121,0.0729,0.544
314,India,1973,0.376,0.0667,0,100,0.0042,0.00035,0.00106,0.0392,0.0121
315,Ireland,1973,7.54,0.614,0,2140,0.018,0,0.0,1.78,0.0
316,Iran,1973,4.19,0.0205,0,383,0.00788,0,0.35,0.523,9.56
317,Iraq,1973,2.8,0.0,0,307,0.00226,0,0.0679,0.286,9.08
318,Iceland,1973,8.23,0.00202,0,9900,0.892,0,0.0,3.11,0.0
319,Israel,1973,6.22,0.0,0,2500,0,0,0.0,1.78,0.0
320,Italy,1973,6.47,0.165,0,2460,0.0593,0.00496,0.231,1.9,0.0202
321,Japan,1973,8.35,0.517,0,4070,0.0531,0.00772,0.0,2.46,0.0
322,South Korea,1973,2.14,0.216,0,397,0.0033,0,0.0,0.356,0.0
323,Kuwait,1973,26.8,0.0,0,3460,0,0,2.51,5.5,170.0
324,Sri Lanka,1973,0.278,0.0,0,66.5,0.00457,0,0.0,0.0787,0.0
325,Luxembourg,1973,40.8,6.95,0,11.8k,0.0115,0,0.0,4.72,0.0
326,Morocco,1973,0.565,0.0215,0,157,0.00621,0,0.0,0.149,0.0
