,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
577,-0.6491486343594782,-0.6812088491748205,-0.7928431146252343,-0.3300517831669737,-0.4034042857537125,-0.2562672130356257,-0.7522830481684528,0.31516785436953837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1945,-0.49958064002229613,-0.22180041773222842,-0.3244603409785875,-0.3406640328468481,-0.4034042857537125,-0.27512254904976585,-0.36089853142026584,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1051,2.599664357390788,-0.6812088491748205,-0.2845089264920742,-0.33174859273638446,-0.4034042857537125,-0.24874461783827445,-0.6990715575193256,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,-0.48609500118861576,-0.6812088491748205,-0.8396433430237213,-0.32337958282623963,-0.4034042857537125,-0.27512254904976585,-0.8391017960696607,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3193,-0.5399149598066674,-0.0910457103216445,-0.18938651104799484,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,-0.48062438538080254,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2094,-0.6205835993754099,-0.2907116824486172,-0.5013880337045752,-0.1965214978996105,-0.24913685983411576,-0.08144014672835256,-0.6185541703528827,-0.18193259961713656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738,-0.6491486343594782,-0.4409029004202339,-0.6326569670174047,-0.3341356299272506,-0.4034042857537125,-0.24263861524302185,0.003880240003357374,-0.17402280047169374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
972,-0.14037226017971954,-0.6812088491748205,-0.6688034848861548,-0.3240410509634675,-0.22234790563250914,-0.27512254904976585,-0.5688434356675137,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
336,2.1215371623784844,-0.6812088491748205,-0.455729274291417,-0.3303968969777013,-0.4034042857537125,-0.2394634938934905,-0.758584408903218,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3068,0.4039571618342873,0.8366059300912817,0.6553005380954299,-0.17840302283641024,0.23583558691910755,-0.27512254904976585,0.10190140698859212,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
